tahun,provinsi,pengangguran,ump,lpengangguran,lump
2012,Kalimantan Selatan ,82455,1225000,11.320008,14.018452
2013,Kalimantan Selatan ,75956,1337500,11.237909,14.106313
2014,Kalimantan Selatan ,81274,1620000,11.305581,14.297936
2015,Kalimantan Selatan ,99953,1870000,11.512455,14.441449
2016,Kalimantan Selatan ,74394,2085050,11.217131,14.550303
2018,Kalimantan Selatan ,82405,2454671,11.319402,14.713503
2019,Kalimantan Selatan ,77289,2651782,11.255307,14.790743
2020,Kalimantan Selatan ,83336,2877449,11.330636,14.872415
2008,Kalimantan Tengah ,51620,765868,10.851665,13.548765
2009,Kalimantan Tengah ,49008,873089,10.799739,13.679792
2010,Kalimantan Tengah ,42731,986590,10.66268,13.80201
2011,Kalimantan Tengah ,44184,1134580,10.696118,13.941773
2012,Kalimantan Tengah ,32351,1327459,10.3844,14.098777
2013,Kalimantan Tengah ,21838,1553127,9.9914064,14.255781
2014,Kalimantan Tengah ,33785,1723970,10.427773,14.360141
2015,Kalimantan Tengah ,40439,1896367,10.60755,14.45545
2016,Kalimantan Tengah ,47239,2057558,10.762975,14.53703
2018,Kalimantan Tengah ,44031,2421305,10.692649,14.699818
2019,Kalimantan Tengah ,45355,2663435,10.722276,14.795127
2020,Kalimantan Tengah ,47159,2903145,10.76128,14.881305
2008,Kalimantan Timur ,142506,889654,11.86714,13.698588
2009,Kalimantan Timur ,165087,955000,12.014228,13.769466
2010,Kalimantan Timur ,160477,1002000,11.985906,13.817509
2011,Kalimantan Timur ,186620,1084000,12.136829,13.896169
2012,Kalimantan Timur ,171947,1177000,12.054941,13.978479
2013,Kalimantan Timur ,166623,1752073,12.023489,14.37631
2014,Kalimantan Timur ,171052,1886315,12.049723,14.450136
2015,Kalimantan Timur ,118247,2026126,11.680531,14.521636
2016,Kalimantan Timur ,146244,2161253,11.893032,14.586199
2018,Kalimantan Timur ,123733,2543332,11.725882,14.748985
2019,Kalimantan Timur ,126094,2747561,11.744783,14.826224
2020,Kalimantan Timur ,132722,2981379,11.796012,14.907896
2015,Kalimantan Utara ,16593,2026126,9.7167358,14.521636
2016,Kalimantan Utara ,11228,2175340,9.3261662,14.592695
2018,Kalimantan Utara ,16003,2559903,9.6805315,14.75548
2019,Kalimantan Utara ,20156,2765463,9.9112577,14.832719
2020,Kalimantan Utara ,20102,3000804,9.9085751,14.914391
2008,Kepulauan Riau ,55378,833000,10.921938,13.632789
2009,Kepulauan Riau ,52237,892000,10.863546,13.701221
2010,Kepulauan Riau ,50729,925000,10.834253,13.737549
2011,Kepulauan Riau ,60419,975000,11.009059,13.790193
2012,Kepulauan Riau ,49156,1015000,10.802754,13.8304
2013,Kepulauan Riau ,54641,1365087,10.90854,14.126729
2014,Kepulauan Riau ,46947,1665000,10.756775,14.325336
2015,Kepulauan Riau ,81016,1954000,11.302402,14.485389
2016,Kepulauan Riau ,82466,2178710,11.320142,14.594243
2018,Kepulauan Riau ,81547,2563875,11.308935,14.75703
2019,Kepulauan Riau ,77381,2769754,11.256496,14.83427
2020,Kepulauan Riau ,67497,3005460,11.119839,14.915941
2008,Lampung ,230388,617000,12.34752,13.332624
2009,Lampung ,230942,691000,12.349922,13.445895
2010,Lampung ,223486,767500,12.317104,13.550894
2011,Lampung ,214396,855000,12.27558,13.658856
2012,Lampung ,208057,975000,12.245567,13.790193
2013,Lampung ,201424,1150000,12.213167,13.955273
2014,Lampung ,204823,1399037,12.229901,14.151295
2015,Lampung ,139509,1581000,11.845884,14.273568
2016,Lampung ,183499,1763000,12.119965,14.382527
2018,Lampung ,194910,2074673,12.180293,14.545314
2019,Lampung ,178933,2241270,12.094767,14.622553
2020,Lampung ,193999,2432002,12.175609,14.704226
2008,Maluku ,61231,700000,11.022408,13.458836
2009,Maluku ,61194,775000,11.021805,13.560618
2010,Maluku ,57041,840000,10.951526,13.641157
2011,Maluku ,57551,900000,10.960426,13.71015
2012,Maluku ,52512,975000,10.868797,13.790193
2013,Maluku ,50109,1275000,10.821956,14.058456
2014,Maluku ,48003,1415000,10.779018,14.16264
2015,Maluku ,47795,1650000,10.774676,14.316286
2016,Maluku ,51164,1775000,10.842792,14.389311
2018,Maluku ,57832,2222220,10.965298,14.614017
2019,Maluku ,53515,2400664,10.887717,14.691256
2020,Maluku ,53077,2604961,10.879499,14.772928
2008,Maluku Utara ,29338,700000,10.286639,13.458836
2009,Maluku Utara ,29117,770000,10.279078,13.554146
2010,Maluku Utara ,25451,847000,10.14451,13.649456
2011,Maluku Utara ,28094,889350,10.243311,13.698246
2012,Maluku Utara ,26156,960498,10.171834,13.775208
2013,Maluku Utara ,26961,1200622,10.202147,13.99835
2014,Maluku Utara ,27871,1440746,10.235342,14.180672
2015,Maluku Utara ,28830,1577617,10.269172,14.271426
2016,Maluku Utara ,18210,1681266,9.8097258,14.335057
2018,Maluku Utara ,28429,2320803,10.255165,14.657424
2019,Maluku Utara ,28564,2508091,10.259902,14.735032
2020,Maluku Utara ,23676,2721530,10.072217,14.816705
2008,Nusa Tenggara Barat ,107795,730000,11.587987,13.5008
2009,Nusa Tenggara Barat ,124940,832500,11.735589,13.632189
2010,Nusa Tenggara Barat ,122837,890775,11.718614,13.699847
2011,Nusa Tenggara Barat ,119863,950000,11.694105,13.764217
2012,Nusa Tenggara Barat ,115736,1000000,11.659067,13.815511
2013,Nusa Tenggara Barat ,120855,1100000,11.702347,13.910821
2014,Nusa Tenggara Barat ,123760,1210000,11.726099,14.006131
2015,Nusa Tenggara Barat ,120126,1330000,11.696297,14.10069
2016,Nusa Tenggara Barat ,87175,1482950,11.375673,14.209544
2018,Nusa Tenggara Barat ,84679,1825000,11.346622,14.41709
2019,Nusa Tenggara Barat ,82508,2012610,11.32065,14.514943
2020,Nusa Tenggara Barat ,80040,2183883,11.290282,14.596615
2008,Nusa Tenggara Timur ,81766,650000,11.311617,13.384727
2009,Nusa Tenggara Timur ,65160,725000,11.084601,13.493927
2010,Nusa Tenggara Timur ,83324,800000,11.330492,13.592367
2011,Nusa Tenggara Timur ,62372,850000,11.040872,13.652991
2012,Nusa Tenggara Timur ,58098,925000,10.969887,13.737549
2013,Nusa Tenggara Timur ,49623,1010000,10.81221,13.82546
2014,Nusa Tenggara Timur ,46904,1150000,10.755858,13.955273
2015,Nusa Tenggara Timur ,75110,1250000,11.226709,14.038654
2016,Nusa Tenggara Timur ,87699,1425000,11.381666,14.169683
2018,Nusa Tenggara Timur ,78893,1660000,11.275847,14.322329
2019,Nusa Tenggara Timur ,82316,1795000,11.318321,14.400516
2020,Nusa Tenggara Timur ,75408,1950000,11.230669,14.48334
2008,Papua ,51129,1105500,10.842107,13.915809
2009,Papua ,45023,1216100,10.714929,14.01116
2010,Papua ,47567,1316500,10.769895,14.090487
2011,Papua ,60070,1403000,11.003265,14.154123
2012,Papua ,47343,1585000,10.765174,14.276095
2013,Papua ,47357,1710000,10.76547,14.352004
2014,Papua ,58811,2040000,10.982084,14.528461
2015,Papua ,63611,2193000,11.060542,14.600781
2016,Papua ,51728,2435000,10.853754,14.705458
2018,Papua ,51438,3000000,10.848132,14.914123
2019,Papua ,58909,3240900,10.983749,14.991362
2020,Papua ,62888,3516700,11.04911,15.073033
2008,Papua Barat ,32000,1105500,10.373491,13.915809
2009,Papua Barat ,27864,1180000,10.235091,13.981025
2010,Papua Barat ,28559,1210000,10.259727,14.006131
2011,Papua Barat ,25982,1410000,10.165159,14.159101
2012,Papua Barat ,25401,1450000,10.142544,14.187074
2013,Papua Barat ,16525,1720000,9.7126293,14.357835
2014,Papua Barat ,15073,1870000,9.6206608,14.441449
2015,Papua Barat ,18806,2015000,9.8419313,14.516129
2016,Papua Barat ,25037,2237000,10.12811,14.620646
2018,Papua Barat ,28842,2667000,10.269588,14.796465
2019,Papua Barat ,26610,2934500,10.189042,14.892048
2020,Papua Barat ,32764,3134600,10.397085,14.958013
2008,Riau ,208931,800000,12.24976,13.592367
2009,Riau ,206471,901600,12.237915,13.711926
2010,Riau ,169164,1016000,12.038624,13.831384
2011,Riau ,195373,1120000,12.182666,13.92884
2012,Riau ,138556,1238000,11.83903,14.029008
2013,Riau ,117792,1400000,11.676676,14.151983
2014,Riau ,139838,1700000,11.84824,14.346139
2015,Riau ,199769,1878000,12.204917,14.445718
2016,Riau ,176948,2095000,12.083611,14.555064
2018,Riau ,181426,2464154,12.108603,14.71736
2019,Riau ,174236,2662026,12.068166,14.794598
2020,Riau ,160866,2888564,11.988327,14.87627
2008,Sulawesi Barat ,27149,760500,10.209096,13.541732
2009,Sulawesi Barat ,25393,909400,10.142229,13.72054
2010,Sulawesi Barat ,22408,944200,10.017174,13.758093
2011,Sulawesi Barat ,16578,1006000,9.7158318,13.821492
2012,Sulawesi Barat ,12280,1127000,9.4157276,13.93507
2013,Sulawesi Barat ,12034,1165000,9.3954916,13.968231
2014,Sulawesi Barat ,399.8333333333333,1400000,5.9910479,14.151983
2015,Sulawesi Barat ,11699,1655500,9.367259,14.319613
2016,Sulawesi Barat ,17421,1864000,9.7654314,14.438235
2018,Sulawesi Barat ,15928,2193530,9.6758337,14.601023
2019,Sulawesi Barat ,370.0416666666667,2381000,5.9136157,14.683031
2020,Sulawesi Barat ,16499,2678863,9.7110548,14.800903
2008,Sulawesi Selatan ,343764,740520,12.74771,13.515108
2009,Sulawesi Selatan ,296559,905000,12.600001,13.715691
2010,Sulawesi Selatan ,284370,1000000,12.558031,13.815511
2011,Sulawesi Selatan ,253676,1100000,12.443813,13.910821
2012,Sulawesi Selatan ,243205,1200000,12.40166,13.997832
2013,Sulawesi Selatan ,217887,1440000,12.291732,14.180154
2014,Sulawesi Selatan ,212857,1800000,12.268375,14.403297
2015,Sulawesi Selatan ,218311,2000000,12.293676,14.508657
2016,Sulawesi Selatan ,192969,2250000,12.170285,14.626441
2018,Sulawesi Selatan ,222863,2647767,12.314313,14.789227
2019,Sulawesi Selatan ,224056,2860382,12.319652,14.866466
2020,Sulawesi Selatan ,250266,3103800,12.43028,14.948137
2008,Sulawesi Tengah ,88430,670000,11.389967,13.415033
2009,Sulawesi Tengah ,63154,720000,11.053331,13.487006
2010,Sulawesi Tengah ,62964,777500,11.050319,13.563839
